Paper ID,Authors,Year,Title,MWP Technique,Traditional tests,AU raw,TC MWP Relevance,App Score,App Evidence,Meth Score,Meth Evidence,SigProc Score,SigProc Types,PropC Score,Property Types,Raw Property,IdM Score,Id Methods,Raw IdM,DA Score,Rheo Score,Rheo Models,Rheo Purpose,Reviewer Support,ABK,ABL,Primary,Secondary,Tie-break Used?,Tie-break Reason,Confidence,Rationale,Materials,Geometries
P168,"Pratico, F.G. and Pellicano, G. and Bolognese, M. and Licitra, G.",2023,A STUDY ON FREQUENCY RESPONSE FUNCTIONS IN PAVEMENT ENGINEERING,IR,None reported,Impact resonance test (IRT),High,2,multiple material types (2); additives/modifiers,2,excitation source (IR); sensors (IR); vibration modes (IR); repetitions (IR),1,FFT,1,mechanical impedance,Mechanical Impedance,1,Domain reported only,Not reported,2,0,None,Not reported,1,Methodology of experiments and signal processing,Not reported,Testing Methodology Focus,Data Analysis Type,Yes,Scores tied at 2; ABK/ABL not decisive; richer form evidence favoured Testing Methodology Focus,Low,"App=2, Meth=2, DA=2 (SigProc=1, PropC=1, IdM=1). Scores tied at 2; ABK/ABL not decisive; richer form evidence favoured Testing Methodology Focus.",Hot Mixture Asphalt (HMA),Cylinder; Disc
P162,"Carret, J.-C. and Di Benedetto, H. and Sauzeat, C.",2020,Linear viscoelastic behavior of asphalt mixes from dynamic frequency response functions,IR,Complex modulus (E*),"Impact resonance test (IRT), Complex modulus (E*)",High,1,conventional-test comparison (Complex modulus (E*)),2,excitation source (IR); sensors (IR); boundary conditions (IR); vibration modes (IR); temperature (IR),0,Not described,2,|E*| / dynamic modulus,Norm of the complex modulus,3,numerical inverse / back-analysis,Numerical inverse analysis (FEM or other),3,2,2S2P1D,"Master curve construction, Validate the convergence and stability of the inverse method with a virtual/numerical reference",0,Not reported,Not reported,Data Analysis Type,Testing Methodology Focus,No,Single highest technical score,High,"App=1, Meth=2, DA=3 (SigProc=0, PropC=2, IdM=3). Single highest technical score.",Hot Mixture Asphalt (HMA),Cylinder; Disc
P30,"McGovern, M. and Behnia, B. and Hill, B. and Buttlar, W.G. and Reis, H.",2014,Characterization of oxidative aging in asphalt concrete pavements using its complex moduli,UT,None reported,Ultrasonic testing (UT),High,1,aging,1,configuration (UT); wave type (UT),1,FFT,0,wave velocity,P-waves/S-waves velocities,1,direct analytical / empirical equation,Analytical method based on closed-form solutions of wave equations | Phase comparison method,1,0,None,Master curve construction,1,effect of aging + velocity in frequency domain,Not reported,Application Focus,None,Yes,Scores tied at 1; ABK/ABL emphasis resolved to Application Focus,Medium,"App=1, Meth=1, DA=1 (SigProc=1, PropC=0, IdM=1). Scores tied at 1; ABK/ABL emphasis resolved to Application Focus.",Hot Mixture Asphalt (HMA),Other / special / unspecified
P132,"Tan, X. and Wu, C. and Li, L. and Li, H. and Liang, C. and Zhao, Y. and Li, H. and Zhao, J. and Wang, F.",2023,Sensitivity and Reliability Analysis of Ultrasonic Pulse Parameters in Evaluating the Laboratory Properties of Asphalt Mixtures,UT,"Complex modulus (E*), Tensile test","Ultrasonic testing (UT), Complex modulus (E*), Tensile test",Medium,1,"conventional-test comparison (Complex modulus (E*), Tensile test)",2,configuration (UT); temperature (UT); wave type (UT),1,FFT,2,|E*| / dynamic modulus,Norm of the complex modulus,1,direct analytical / empirical equation,Analytical method based on closed-form solutions of wave equations,2,2,Sigmoidal,Master curve construction,1,Analysis of amplitude of UPV,Not reported,Data Analysis Type,Testing Methodology Focus,Yes,Scores tied at 2; ABK/ABL not decisive; richer form evidence favoured Data Analysis Type,Low,"App=1, Meth=2, DA=2 (SigProc=1, PropC=2, IdM=1). Scores tied at 2; ABK/ABL not decisive; richer form evidence favoured Data Analysis Type.",Other / special / unspecified asphalt material,Cylinder
P68,"Karati, Sukanta and Kumar Roy, Tapas",2024,Evaluation of the Performance of Sawdust Ash in Bituminous Concrete against Moisture Damage,UT,None reported,Ultrasonic testing (UT),Low,2,multiple material types (4); moisture/conditioning; cracking/damage,1,wave type (UT),0,Not described,2,|E*| / dynamic modulus,"Norm of the complex modulus, dynamic modulus",0,Not described,Not reported,1,0,None,Not reported,0,Not reported,Not reported,Application Focus,None,No,Single highest technical score,High,"App=2, Meth=1, DA=1 (SigProc=0, PropC=2, IdM=0). Single highest technical score.",Hot Mixture Asphalt (HMA),Other / special / unspecified
P175,"Gudmarsson, A and Ryden, N and Birgisson, B",2012,Application of resonant acoustic spectroscopy to asphalt concrete beams for determination of the dynamic modulus,IR,None reported,Impact resonance test (IRT),High,0,No application evidence identified in the form,3,excitation source (IR); sensors (IR); boundary conditions (IR); vibration modes (IR); standard/reference (IR); repetitions (IR); temperature (IR); methodological comment (IR),1,"FFT, averaging",3,"|E*| / dynamic modulus, phase angle, Poisson’s ratio","Norm of the complex modulus, Phase angle of the complex modulus, Poisson’s ratio, OBS.: Poisson's ratio required empirical formulae from NCHRP.",3,"numerical inverse / back-analysis, detailed signal-based (FRF/modal/peak-based), direct analytical / empirical equation","Analytical method based on closed-form solutions of wave equations, Numerical inverse analysis (FEM or other)",3,2,Sigmoidal,Master curve construction,1,"Demonstrates that resonance tests are useful and repeatable to characterize E* mastercurves, especially when applying iterative methods of analysis.",Not reported,Data Analysis Type,Testing Methodology Focus,Yes,Scores tied at 3; ABK/ABL not decisive; richer form evidence favoured Data Analysis Type,Low,"App=0, Meth=3, DA=3 (SigProc=1, PropC=3, IdM=3). Scores tied at 3; ABK/ABL not decisive; richer form evidence favoured Data Analysis Type.",Hot Mixture Asphalt (HMA),Prism / beam
P174,"Boz, ilker and Solaimanian, Mansour",2018,Establishing Relationship Between Engineering Properties of Asphalt Concrete and Mix Parameters Using Impact Resonance Test,IR,None reported,Impact resonance test (IRT),Medium,1,multiple material types (3),2,sensors (IR); vibration modes (IR); repetitions (IR); temperature (IR); methodological comment (IR),1,FFT,0,resonant frequency,natural frequency,1,direct analytical / empirical equation,linear regression,1,0,None,Predicted model using linear regresion (natural frequency as a polynomial fonction of input material parameters and temperature,1,Linear regression,Not reported,Testing Methodology Focus,None,No,Single highest technical score,High,"App=1, Meth=2, DA=1 (SigProc=1, PropC=0, IdM=1). Single highest technical score.",Hot Mixture Asphalt (HMA),Disc
P171,"Carret, J.-C. and Benedetto, H.D. and Sauzéat, C.",2019,Dynamic testing of asphalt mixes,IR,Complex modulus (E*),"Impact resonance test (IRT), Complex modulus (E*)",High,1,conventional-test comparison (Complex modulus (E*)),3,excitation source (IR); sensors (IR); boundary conditions (IR); vibration modes (IR); repetitions (IR); temperature (IR),1,FFT,3,"|E*| / dynamic modulus, phase angle","Norm of the complex modulus, Phase angle of the complex modulus",3,numerical inverse / back-analysis,Numerical inverse analysis (FEM or other),3,0,None,"Master curve construction, Comparison of results from different tests (e.g. between MWP tests and complex modulus tests)",2,"This study is highly relevant to the TC MWP because it demonstrates a complete methodology for determining the complex modulus of asphalt mixtures from IRT. The main contribution lies in the use of FRF combined with finite element simulations and inverse analysis to back-calculate the norm and phase angle of the complex modulus from the first resonance peak. The procedure uses the measured fundamental resonance frequency to iteratively determine the modulus magnitude, while the resonance peak amplitude is used to determine the phase angle by matching experimental and numerical FRFs. For the inverse analysis, the material behaviour is simplified by assuming a constant complex modulus (independent of frequency) and a fixed Poisson’s ratio of 0.3 at each test temperature. The study also introduces an automated impact hammer, improving measurement repeatability and enabling testing inside a thermal chamber.","The results showed good agreement between the complex modulus obtained from dynamic tests and conventional cyclic tension–compression tests, confirming the potential of IRT as a simple, economical, and non-destructive alternative for characterizing the linear viscoelastic behaviour of asphalt mixtures.",Data Analysis Type,Testing Methodology Focus,Yes,Scores tied at 3; ABK/ABL emphasis resolved to Data Analysis Type,Medium,"App=1, Meth=3, DA=3 (SigProc=1, PropC=3, IdM=3). Scores tied at 3; ABK/ABL emphasis resolved to Data Analysis Type.",Hot Mixture Asphalt (HMA),Cylinder
P142,"Cheng, Y.-C. and Zhang, P. and Wang, Y.-D. and Tao, J.-L. and Jiao, Y.-B.",2014,Ultrasonic evaluation and prediction of asphalt mixture damage under the coupling effects of water-temperature-radiation,UT,None reported,Ultrasonic testing (UT),Low,1,cracking/damage,2,repetitions (UT); temperature (UT); wave type (UT); methodological comment (UT),1,FFT,0,Not reported,Not reported,0,Not described,Not reported,1,0,None,Not reported,1,"This paper demonstrates the use of UT for damage assessment and does not use ultrasonic testing to determine mechanical properties such as modulus or stiffness. In addition, important details of the ultrasonic setup, including transducer characteristics, frequency and signal processing procedures, are not reported. The focus is on durability-related damage detection rather than mechanical characterization, which limits its direct applicability to the objectives of TC MWP.",Not reported,Testing Methodology Focus,None,No,Single highest technical score,High,"App=1, Meth=2, DA=1 (SigProc=1, PropC=0, IdM=0). Single highest technical score.",Hot Mixture Asphalt (HMA),Disc
P121,"Liao, H and Sharma, A and Tavassoti, P and BAAJ, H and Transportation Association of Canada",2022,Rapid Assessment of High RAP Mix with Bio-based Rejuvenators Using Ultrasonic Pulse Velocity Testing and Hamburg Wheel Tracking Testing,UT,Rutting test,"Ultrasonic testing (UT), Rutting test",Low,3,conventional-test comparison (Rutting test); multiple material types (5); RAP/RAS or recycled materials; additives/modifiers,2,central frequency (UT); configuration (UT); transducer type (UT); wave type (UT),1,"FFT, windowing",0,Not reported,Not reported,1,direct analytical / empirical equation,Analytical method based on closed-form solutions of wave equations,1,0,None,Not reported,1,"The paper has low relevance for the TC MWP scope. Although it applies UPV to asphalt mixtures and includes both time- and frequency-domain signal parameters, the method is used mainly as a rapid screening tool for volumetric properties (e.g., density and air voids) and relative comparison between mixtures, rather than for mechanical or rheological characterization. UPV measurements were repeatable within each mixture, but the differences between mixtures were not significant enough to clearly distinguish the effects of the rejuvenators. In contrast, the Hamburg Wheel Tracking Test (HWT) was more effective in differentiating mixture performance. Furthermore, the paper provides limited details regarding the ultrasonic testing procedure and signal processing methodology.",Not reported,Application Focus,Testing Methodology Focus,No,Single highest technical score,High,"App=3, Meth=2, DA=1 (SigProc=1, PropC=0, IdM=1). Single highest technical score.",Hot Mixture Asphalt (HMA),Cylinder; Disc
